PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,,
Aaron Gordon,ORL,24,4,2,2,25.9,15.3,5.3,10.3,51.2,1.3,2.8,45.5,3.5,5.3,66.7,1,7.5,8.5,3.3,1.5,0.3,0.8,2.3,31.8,1,0,,
Aaron Holiday,IND,23,8,6,2,31.1,10.1,3.9,8.4,46.3,0.9,2.3,38.9,1.5,1.9,80,0.1,2.9,3,4,1.6,1.3,0.4,2.3,23,1,0,,
Abdel Nader,OKC,26,7,4,3,15.8,8.3,3.3,6.1,53.5,1.3,3.3,39.1,0.4,0.6,75,0,1.4,1.4,0.4,1,0.4,0,1.9,10.9,0,0,,
Admiral Schofield,WAS,23,6,0,6,12.6,2.7,0.8,2.8,29.4,0.8,2.3,35.7,0.2,0.3,50,0.2,2,2.2,0.2,0,0,0.2,1.5,6,0,0,,
Al Horford,PHI,34,7,4,3,25.4,10.9,4.3,7.9,54.5,1.4,2.7,52.6,0.9,1,85.7,1.6,4.7,6.3,3.7,2.1,0,0.9,2,24.4,0,0,,
Alec Burks,PHI,28,7,4,3,20.4,14.6,5.4,9.6,56.7,2.3,4,57.1,1.4,2,71.4,0.7,2.1,2.9,2.6,0.9,0.6,0,1.1,22.7,0,0,,
Alex Caruso,LAL,26,6,3,3,23.9,5.5,1.7,5.2,32.3,0.3,2.2,15.4,1.8,3,61.1,0.5,1.3,1.8,3.7,1.2,1.7,0.2,2.2,17.5,0,0,,
Alex Len,SAC,27,6,3,3,12.6,5,1.5,2.8,52.9,0.3,0.5,66.7,1.7,2.3,71.4,0.8,3.7,4.5,0.5,0.8,0.2,0.3,2.2,11.8,0,0,,
Alize Johnson,IND,24,4,2,2,16,4,1.3,3.5,35.7,0.8,2,37.5,0.8,1,75,2.3,5.3,7.5,1.3,1,0.8,0.5,1.5,17.6,1,0,,
Amir Coffey,LAC,23,5,4,1,12.3,6,2,4.2,47.6,1,2.4,41.7,1,1.6,62.5,0,0.4,0.4,1,1,0.8,0.2,1.6,10,0,0,,
Andre Iguodala,MIA,36,7,3,4,22.7,5,1.9,5.3,35.1,0.7,3.3,21.7,0.6,1,57.1,1,2.6,3.6,3.3,1.3,0.9,0.7,1,17.6,0,0,,
Andre Roberson,OKC,28,7,3,4,12.4,2.9,1.1,4.1,27.6,0.4,2,21.4,0.1,0.3,50,1,2.9,3.9,0.6,0.3,0.1,0.4,1.9,9.8,0,0,,
Anfernee Simons,POR,21,5,4,1,9.8,1.4,0.6,2.2,27.3,0.2,1.4,14.3,0,0,0,0,1,1,0.4,0,0,0,0.8,3.2,0,0,,
Anthony Davis,LAL,27,7,3,4,34.6,21.6,6.1,14.6,42.2,1,3.4,29.2,8.3,9.7,85.3,2.6,6,8.6,4,2.7,1.3,1.3,2.6,42.9,2,0,,
Anthony Tolliver,MEM,35,8,2,6,17.5,4.4,1.4,3.4,40.7,1.3,3,41.7,0.4,0.5,75,0.5,2.1,2.6,1.1,0.5,0.5,0,1.3,10.2,0,0,,
Antonius Cleveland,DAL,26,5,2,3,4.7,1.2,0.4,1.6,25,0,0.4,0,0.4,0.6,66.7,0.4,0.4,0.8,0.2,0.2,0,0.4,1.2,3.5,0,0,,
Anzejs Pasecniks,WAS,24,3,0,3,10.7,4,1.7,3.3,50,0,0.3,0,0.7,1.3,50,1,1.7,2.7,0.3,0.7,0.3,0,3.3,8,0,0,,
Austin Rivers,HOU,27,8,4,4,24,11.1,3.6,8.6,42,1.6,4.8,34.2,2.3,2.6,85.7,0.3,3.9,4.1,2.1,1.9,0.9,0,2.1,20,0,0,,
BJ Johnson,ORL,24,2,1,1,18.2,8.5,2,7,28.6,1,1.5,66.7,3.5,4,87.5,1,3.5,4.5,0.5,1.5,0.5,0,1.5,14.7,0,0,,
Bam Adebayo,MIA,22,7,3,4,26.1,13.3,4.6,10.1,45.1,0.1,0.1,100,4,5.7,70,1.6,5.9,7.4,5,2.7,0.6,1.1,2.6,32.1,1,0,,
Ben McLemore,HOU,27,8,4,4,22.8,12,4.1,9.4,44,3.4,7.8,43.5,0.4,0.6,60,0.1,2.1,2.3,0.5,0.5,0.9,0.5,3.1,19.1,0,0,,
Ben Simmons,PHI,23,3,2,1,28.8,11.7,4.7,10,46.7,0,0.3,0,2.3,4.7,50,1.7,5.3,7,4.3,2.7,1.3,0.3,4.3,28.9,1,0,,
Boban Marjanovic,DAL,31,7,2,5,12.1,8.1,3.6,5.4,65.8,0,0.3,0,1,1.4,70,1.9,4.4,6.3,1,0.6,0.1,0.4,1.3,18.3,1,0,,
Bogdan Bogdanovic,SAC,27,8,3,5,32,19.6,7.5,15.9,47.2,3.4,7.6,44.3,1.3,1.4,90.9,1.1,3.4,4.5,4.8,1.6,1.3,0.1,2.3,34.7,0,0,,
Bol Bol,DEN,20,7,2,5,12.4,5.7,2,4,50,0.6,1.3,44.4,1.1,1.4,80,0.7,2,2.7,0.9,1.4,0.3,0.9,1.6,12.3,0,0,,
Brad Wanamaker,BOS,30,8,5,3,19.3,9.3,3.3,5.5,59.1,0.5,1.5,33.3,2.3,2.5,90,0.4,2.1,2.5,2.6,0.8,1.1,0.3,1.6,19.6,0,0,,
Brandon Clarke,MEM,23,8,2,6,26.7,12.3,5.3,8.9,59.2,0.3,1.5,16.7,1.5,2.4,63.2,1.8,4.9,6.6,1.1,1.1,0.8,0.8,2.3,25.3,0,0,,
Brandon Ingram,NOP,22,6,2,4,30.8,19.8,6.3,15,42.2,2.2,5,43.3,5,6.3,78.9,0.3,4.7,5,3,2.5,0.8,0.2,2.8,30.8,0,0,,
Brian Bowen II,IND,21,1,1,0,2.3,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,
Brook Lopez,MIL,32,7,3,4,27.8,20.4,6.9,14.3,48,2.6,5.9,43.9,4.1,4.4,93.5,2.3,3.4,5.7,0.6,1,0.4,2,2.3,34.4,1,0,,
Bruno Caboclo,HOU,24,3,1,2,8.2,6,2,4,50,0.7,1.7,40,1.3,1.3,100,0.3,2,2.3,0,1.3,1,0.3,2,11.5,0,0,,
Buddy Hield,SAC,27,8,3,5,21.4,14.3,5.3,12.5,42,3.4,8.8,38.6,0.4,0.6,60,0,2.8,2.8,2,2.3,0.8,0,1.9,20.6,0,0,,
CJ McCollum,POR,28,8,6,2,40.9,20.1,7.8,18,43.1,2.5,6.8,37,2.1,2.6,81,0.6,4.8,5.4,5.3,1.4,1,0.4,3,37.2,0,0,,
Cameron Johnson,PHX,24,8,8,0,32.4,13.3,5,10,50,1.9,5.4,34.9,1.4,1.4,100,1.3,4.6,5.9,2.1,0.4,0.8,0.5,2,26.9,2,0,,
Cameron Payne,PHX,25,8,8,0,22.9,10.9,4.1,8.5,48.5,1.9,3.6,51.7,0.8,0.9,85.7,0.5,3.4,3.9,3,1.4,1,0.3,2.5,22.4,0,0,,
Caris LeVert,BKN,25,6,3,3,33.1,25,9.8,20.5,48,1.3,5.2,25.8,4,6,66.7,1.5,3.5,5,6.7,3.3,1.5,0.5,1.5,43.7,1,0,,
Carmelo Anthony,POR,36,8,6,2,34.9,16.5,5.9,12.9,45.6,1.9,4,46.9,2.9,3.4,85.2,1.3,5.6,6.9,0.8,1.6,1.1,0.5,3.6,29.1,1,0,,
Carsen Edwards,BOS,22,2,1,1,17.3,7.5,2.5,7.5,33.3,1.5,4,37.5,1,3,33.3,0,2,2,1,0,1,0.5,0.5,15.9,0,0,,
Cheick Diallo,PHX,23,3,3,0,3.8,2.7,1,1.7,60,0,0.3,0,0.7,0.7,100,0.7,0.7,1.3,0,0.7,0.3,0,0.3,4.6,0,0,,
Chimezie Metu,SAS,23,2,1,1,16.4,6,2,3.5,57.1,0,0.5,0,2,2.5,80,1,2.5,3.5,2,2.5,1,1,1.5,16.7,0,0,,
Chris Boucher,TOR,27,7,6,1,13.5,9,3.1,5.6,56.4,1.4,2.7,52.6,1.3,1.9,69.2,1.9,3.1,5,0.4,0.7,0.3,1.1,1.4,19.2,1,0,,
Chris Chiozza,BKN,24,7,5,2,21.8,8.3,3.3,8.7,37.7,1.3,4.4,29,0.4,0.4,100,0.4,2.1,2.6,5,2.1,0.9,0.3,2,20.2,1,0,,
Chris Clemons,HOU,22,4,1,3,9.9,5,1.5,4,37.5,1,3.3,30.8,1,1,100,0.3,1.5,1.8,1.3,0.5,0.8,0.3,1.5,11.5,0,0,,
Chris Paul,OKC,35,7,4,3,29.2,16.9,5.7,11.7,48.8,1.4,3.6,40,4,4.1,96.6,0.7,4.9,5.6,6.6,3.4,1.9,0.3,2.7,36.4,0,0,,
Chris Silva,MIA,23,3,0,3,13.2,4.3,1.7,3,55.6,0,0.3,0,1,2,50,2,3.7,5.7,0.7,0.3,0,1,1.7,14.8,0,0,,
Corey Brewer,SAC,34,5,2,3,6.5,1,0.4,0.8,50,0,0.2,0,0.2,0.6,33.3,0.4,1.2,1.6,0.4,0.4,0.8,0,1.4,5.5,0,0,,
Cory Joseph,SAC,28,8,3,5,27.6,6.6,2,5.4,37.2,1.1,3.1,36,1.5,1.5,100,0.9,2.3,3.1,4.1,2,0.9,0,1.5,17.2,0,0,,
D.J. Augustin,ORL,32,8,3,5,25.6,11,3.5,8,43.8,1.3,3.4,37,2.8,3,91.7,0.5,1.1,1.6,4.9,2.1,0.5,0,2.4,19.6,0,0,,
D.J. Wilson,MIL,24,6,2,4,13.8,5.5,2,5.2,38.7,0.7,3,22.2,0.8,1.5,55.6,0.3,3.7,4,0.5,0.7,0.2,0,1.2,10.9,0,0,,
DaQuan Jeffries,SAC,22,7,3,4,17.4,6.1,2.4,4.7,51.5,0.6,2,28.6,0.7,0.9,83.3,0.3,2.1,2.4,0.9,0.3,0.4,0.1,2.3,11.8,0,0,,
Damian Lillard,POR,29,8,6,2,41.7,37.6,11.6,23.4,49.7,5.5,12.6,43.6,8.9,10,88.8,0.4,3.9,4.3,9.6,3.3,1.4,0.1,2,58.4,3,0,,
Daniel Theis,BOS,28,7,5,2,26.3,8.9,3.6,6.3,56.8,0.9,2.1,40,0.9,1.1,75,1.4,5.1,6.6,2.3,0.9,0.3,1.3,2.6,24,2,0,,
Danilo Gallinari,OKC,31,7,4,3,20.5,14.7,4.1,9.7,42.6,1.9,5.1,36.1,4.6,4.9,94.1,0.3,2.6,2.9,0.9,0.9,0.3,0.1,1.3,19.9,0,0,,
Danny Green,LAL,33,7,3,4,22.5,6.6,2.7,7,38.8,1,4,25,0.1,0.6,25,1,1.7,2.7,0.7,1.3,1.3,0.4,1,14.8,0,0,,
Danuel House Jr.,HOU,27,5,4,1,34.8,13.8,4.8,11.4,42.1,3.2,8.8,36.4,1,1,100,0.2,4,4.2,1.4,1,0.6,0.4,2.6,22.9,0,0,,
Dario Saric,PHX,26,8,8,0,23.8,14.8,4.9,8.5,57.4,1.4,2.6,52.4,3.6,4.1,87.9,1.4,6.3,7.6,1.8,2,0.4,0.1,3,26,0,0,,
Darius Bazley,OKC,20,8,4,4,27.5,13,4.6,10.9,42.5,2.4,5.1,46.3,1.4,1.9,73.3,1.1,5.1,6.3,1.5,0.6,0.4,0.8,1.3,25.5,1,0,,
De'Aaron Fox,SAC,22,6,1,5,34.7,26.2,10.3,20.5,50.4,1.2,5.3,21.9,4.3,6,72.2,0.8,1.7,2.5,7.3,2.8,1.7,0.3,2.7,43.3,1,0,,
De'Anthony Melton,MEM,22,8,2,6,19.5,4.4,1.6,6,27.1,0.4,2.9,13,0.8,1.9,40,0.8,2.6,3.4,2.3,0.8,1.5,0.3,2.1,16.3,0,0,,
DeMar DeRozan,SAS,30,7,5,2,32.2,21.7,7.7,13.3,58.1,0.1,0.7,20,6.1,7.1,86,0.7,3.7,4.4,5.7,2.4,1.1,0.9,2.3,39.2,1,0,,
DeMarre Carroll,HOU,33,3,0,3,19.7,4.7,1.3,4,33.3,0.3,2,16.7,1.7,2,83.3,0.3,2.3,2.7,2.3,0.3,1.3,0.3,1.3,16,0,0,,
Deandre Ayton,PHX,21,8,8,0,30,15,6.9,12.9,53.4,0.4,1.3,30,0.9,1.4,63.6,3,6.5,9.5,1.9,1.1,0.5,0.9,2.5,32.2,3,0,,
Dejounte Murray,SAS,23,8,5,3,29.9,12.6,4.9,12.5,39,0.9,2.6,33.3,2,2.5,80,0.3,5.8,6,4.3,2.1,1.4,0.1,1.9,28.6,2,0,,
Delon Wright,DAL,28,8,3,5,19.7,3.8,1.4,3.8,36.7,0.3,1.3,20,0.8,1.3,60,0.5,2.1,2.6,3,0.6,1.1,0.1,1.3,14.5,0,0,,
Dennis Schroder,OKC,26,2,1,1,23.5,15,5.5,10,55,1.5,2.5,60,2.5,3,83.3,0,1.5,1.5,3,3.5,1,0,4,20.8,0,0,,
Deonte Burton,OKC,26,5,2,3,14.5,2,0.8,4,20,0,1.4,0,0.4,0.4,100,0.2,1.6,1.8,1.2,1,0.4,0,1.2,6.2,0,0,,
Derrick Favors,NOP,28,6,2,4,25.6,7.3,3.3,5.7,58.8,0,0,0,0.7,1.5,44.4,2.7,6.7,9.3,1,0.7,0.8,0.3,1.3,22.9,2,0,,
Derrick Jones Jr.,MIA,23,8,3,5,15.8,5.8,2.3,3.3,69.2,0.4,0.8,50,0.9,1.3,70,1.1,1.4,2.5,0.6,0.4,0.5,0.3,2,11.6,0,0,,
Derrick White,SAS,25,7,5,2,29.8,18.9,5.7,12.6,45.5,3.1,8,39.3,4.3,5.1,83.3,0.7,3.6,4.3,5,2,0.7,0.6,2.7,33.4,0,0,,
Devin Booker,PHX,23,8,8,0,33.8,30.5,10.4,20.6,50.3,1.9,6,31.3,7.9,8.4,94,0.3,4.6,4.9,6,2.5,0.5,0.3,3.1,45.1,1,0,,
Devon Hall,OKC,24,6,3,3,10.2,2.5,0.8,4.2,20,0.7,2.5,26.7,0.2,0.7,25,0.3,0.7,1,1.7,0.7,0.7,0.2,0.8,8,0,0,,
Devontae Cacok,LAL,23,1,0,1,8.9,6,3,6,50,0,0,0,0,0,0,2,3,5,1,0,0,0,0,13.5,0,0,,
Dewan Hernandez,TOR,23,2,2,0,8.4,5,2,4.5,44.4,0.5,0.5,100,0.5,1.5,33.3,1.5,2,3.5,1.5,1,0,0,0,10.5,0,0,,
Dillon Brooks,MEM,24,8,2,6,32.6,20.1,7.9,17.9,44.1,1.9,6.6,28.3,2.5,3.1,80,0.9,2.9,3.8,2.8,2,0.8,0.3,4,29.8,0,0,,
Dion Waiters,LAL,28,7,3,4,23.6,11.9,4.4,10.4,42.5,1,4.3,23.3,2,2.3,87.5,0.3,1.6,1.9,2.4,1.9,0.6,0.6,2.3,19.3,0,0,,
Donovan Mitchell,UTA,23,6,3,3,33.1,21.7,7,17.8,39.3,2.8,7.5,37.8,4.8,5.3,90.6,1.5,3.2,4.7,5,2.8,0.7,0.3,3,34.9,0,0,,
Donta Hall,BKN,22,5,3,2,17.1,6.6,2.8,3.6,77.8,0,0,0,1,2.4,41.7,1.6,3,4.6,0.4,0.6,0.4,1,2.8,16.3,0,0,,
Donte DiVincenzo,MIL,23,7,2,5,22.7,8,3.3,8.3,39.7,1,3.7,26.9,0.4,1.1,37.5,1,3.1,4.1,2.6,2.6,0.7,0.3,2.3,17.3,0,0,,
Dorian Finney-Smith,DAL,27,7,2,5,31.6,11.6,4.1,9.3,44.6,2.1,5.4,39.5,1.1,1.6,72.7,2.9,4.7,7.6,2.4,0.9,0.1,0.3,3.4,24.7,2,0,,
Doug McDermott,IND,28,7,6,1,18.6,9.6,3.7,8,46.4,1.4,4.1,34.5,0.7,0.9,83.3,0.4,2.1,2.6,1.1,0.3,0.4,0.1,1.6,15.8,0,0,,
Drew Eubanks,SAS,23,8,5,3,17.7,7,2.8,4.9,56.4,0,0,0,1.5,1.9,80,2.5,3.8,6.3,1.3,1.4,0.4,1.4,2,20.3,0,0,,
Duncan Robinson,MIA,26,8,3,5,27,15,4.6,9.3,50,3.4,7.9,42.9,2.4,2.4,100,0.1,2.4,2.5,1.4,1.3,0,0.5,1.8,20.3,0,0,,
Dwight Howard,LAL,34,7,3,4,16.1,7,2,2.9,70,0,0,0,3,4.9,61.8,2.3,4.9,7.1,0.4,1.6,0.6,0.4,3.1,17.6,1,0,,
Dzanan Musa,BKN,21,5,3,2,16.6,8.8,2.8,6.6,42.4,0.8,2.6,30.8,2.4,3.2,75,0.4,2.6,3,2.4,1.4,0.4,0,1,15.8,0,0,,
E'Twaun Moore,NOP,31,5,1,4,12.4,5.8,2.4,5.4,44.4,0.6,1.4,42.9,0.4,0.4,100,0.4,1.2,1.6,1,0.4,0.8,0.2,0.6,11.8,0,0,,
Ed Davis,UTA,31,3,1,2,11.8,6,2.7,4,66.7,0,0,0,0.7,1,66.7,2,1.3,3.3,1.3,0,0.3,0,2,13,0,0,,
Edmond Sumner,IND,24,6,5,1,16.9,6.3,2.3,5.2,45.2,0.7,2.5,26.7,1,2.3,42.9,0.2,1.3,1.5,2.7,0.5,0,0.2,1.5,12.1,0,0,,
Elie Okobo,PHX,22,1,1,0,12,4,0,0,0,0,0,0,4,4,100,0,2,2,2,0,0,0,1,9.4,0,0,,
Emmanuel Mudiay,UTA,24,6,2,4,16.2,7.3,2.5,6.3,39.5,0.5,1.8,27.3,1.8,2.3,78.6,0.2,1.7,1.8,1.5,1.8,0.8,0,1.3,12.5,0,0,,
Enes Kanter,BOS,28,7,4,3,13.3,7.6,3.3,5.3,62.2,0,0,0,1,1.4,70,3.1,2.1,5.3,1,0.6,0.1,0.4,2.1,16.6,0,0,,
Eric Bledsoe,MIL,30,5,1,4,24.5,9.2,3,8.2,36.6,0.8,2.8,28.6,2.4,4.2,57.1,0.4,4.2,4.6,5.2,1.6,0.8,0.2,1.6,23.9,0,0,,
Eric Gordon,HOU,31,2,0,2,21.9,13,4.5,12.5,36,2,7.5,26.7,2,2,100,0.5,2.5,3,1,3.5,0.5,0.5,1,17.6,0,0,,
Ersan Ilyasova,MIL,33,7,3,4,13,4.6,1.3,3.3,39.1,0.6,1.9,30.8,1.4,1.7,83.3,0.3,3.4,3.7,0.3,0.1,0.1,0.4,1.1,11,1,0,,
Evan Fournier,ORL,27,5,2,3,28.9,14.4,5.2,12,43.3,1.6,5.6,28.6,2.4,3,80,0.2,2.6,2.8,3.2,1,0.2,0.2,2.8,22.8,0,0,,
Frank Jackson,NOP,22,8,2,6,17.6,10.8,4.4,9.3,47.3,1,3,33.3,1,1.4,72.7,0.4,1.1,1.5,2.5,0.8,0.3,0,1.3,16.3,0,0,,
Frank Kaminsky,PHX,27,7,7,0,8.5,3.7,1.6,4,39.3,0.3,1.7,16.7,0.3,0.3,100,0.7,1.9,2.6,0.6,0.6,0.1,0,0.9,7.5,0,0,,
Frank Mason,MIL,26,3,1,2,21.8,16,6,10.7,56.3,1.3,3.7,36.4,2.7,4.3,61.5,0.7,3,3.7,6,1.7,1,0.3,2.3,31.7,0,0,,
Fred VanVleet,TOR,26,6,5,1,34.8,17.8,5.3,12,44.4,2.5,6,41.7,4.7,5.3,87.5,0,3.8,3.8,6.7,1.8,1.5,0.7,2.3,37.1,2,0,,
Furkan Korkmaz,PHI,22,8,4,4,20.1,10.1,2.5,6.1,40.8,2.1,4.9,43.6,3,3.8,80,0.3,2.3,2.5,1.1,0.9,0.6,0.1,1.1,16.2,0,0,,
Gabe Vincent,MIA,24,3,1,2,13.8,3.3,1.3,6,22.2,0.7,3.7,18.2,0,0,0,0,0.7,0.7,1,0.3,1.3,0,1.3,9.3,0,0,,
Garrett Temple,BKN,34,7,4,3,26.1,11,3.4,9,38.1,2.1,5.7,37.5,2,2,100,0.1,3.9,4,2.1,0.7,0.7,0.4,1.9,21.7,1,0,,
Gary Clark,ORL,25,7,3,4,20.2,6.3,2.3,4.6,50,1.6,3.6,44,0.1,0.1,100,1.4,2.1,3.6,0.3,0.7,0.1,1.1,2.1,14.1,0,0,,
Gary Trent Jr.,POR,21,8,6,2,34.1,16.9,5.9,11.4,51.6,4.3,8.4,50.7,0.9,1.1,77.8,0.6,0.9,1.5,1.4,0.3,1.1,0.4,2.6,25,0,0,,
George Hill,MIL,34,7,3,4,24,8,2.3,5.7,40,1.1,3.4,33.3,2.3,2.6,88.9,0.7,2.6,3.3,4.1,1.1,0.7,0.1,1.3,19.6,0,0,,
Georges Niang,UTA,27,8,3,5,18.9,7,2.6,7.1,36.8,1.6,5,32.5,0.1,0.3,50,0.4,1.9,2.3,1.1,0.5,0.6,0,1.5,12.8,0,0,,
Giannis Antetokounmpo,MIL,25,6,3,3,25.7,27.8,10.3,16.5,62.6,1,3.7,27.3,6.2,9.8,62.7,1.7,10.5,12.2,4.2,3.5,0.3,1.3,3.7,50.2,4,0,,
Glenn Robinson III,PHI,26,2,0,2,21.4,9.5,3.5,7,50,1.5,3,50,1,1.5,66.7,1.5,3.5,5,0,1,0.5,0,1.5,16,0,0,,
Goga Bitadze,IND,20,5,3,2,12.3,4,1.8,4.2,42.9,0.4,1.2,33.3,0,0,0,0.6,1.4,2,0.4,0.6,0.8,1,1.6,11.8,0,0,,
Goran Dragic,MIA,34,5,3,2,26.3,17,5.8,12.2,47.5,1.2,5,24,4.2,5,84,0.6,3.6,4.2,5.6,2.2,1.8,0.4,3.8,34.8,0,0,,
Gordon Hayward,BOS,30,7,5,2,34.1,18.7,6.4,13.3,48.4,1.6,4.7,33.3,4.3,4.9,88.2,1.4,6.3,7.7,3.9,2.4,0.4,0.3,2.1,33.5,0,0,,
Gorgui Dieng,MEM,30,5,2,3,16.9,7.2,1.6,4.2,38.1,0.6,2,30,3.4,3.6,94.4,0.8,2.8,3.6,0.4,1,0.6,0.6,2.4,14.7,0,0,,
Grant Williams,BOS,21,7,4,3,10.5,2.7,1,2.7,36.8,0.4,1.6,27.3,0.3,0.4,66.7,0.1,1.7,1.9,0.9,0.6,0.3,0.4,2,7.8,0,0,,
Grayson Allen,MEM,24,8,2,6,27.6,13.6,4.8,9.4,50.7,3,6.3,48,1.1,1.3,90,0.4,2,2.4,1.1,1.3,0.5,0.1,2.1,18.8,0,0,,
Hamidou Diallo,OKC,21,8,4,4,24.6,10.6,4.1,9.6,42.9,1.1,2.8,40.9,1.3,2.3,55.6,1.9,3.8,5.6,1.8,1.8,1.1,0.1,2.4,22,1,0,,
Harrison Barnes,SAC,28,8,3,5,31.3,13.1,4.9,10.3,47.6,1.1,3.1,36,2.3,2.9,78.3,2,4.1,6.1,0.9,1,0.6,0.3,1.4,23.4,1,0,,
Harry Giles III,SAC,22,8,3,5,11,6.4,2.9,5.5,52.3,0,0.3,0,0.6,0.8,83.3,1.3,2.4,3.6,1.4,1.1,0.1,0.5,2.4,13.5,1,0,,
Hassan Whiteside,POR,31,6,5,1,16.3,7.8,3,4.3,69.2,0,0,0,1.8,2.3,78.6,2.3,3.7,6,0.7,0.5,0.3,1.5,2.8,21,0,0,,
Isaac Bonga,WAS,20,8,1,7,28,8,2.8,6.3,44,0.4,2,18.8,2.1,2.6,81,1.3,3.6,4.9,1.9,2.1,1,0.1,2.5,17.9,0,0,,
Ish Smith,WAS,31,8,1,7,27.2,14.1,5.8,13.5,42.6,0.9,2.4,36.8,1.8,2,87.5,0.3,3.5,3.8,6.1,2.3,0.9,0.8,2.8,30.4,1,0,,
Ivica Zubac,LAC,23,8,5,3,21.2,10.6,4.3,6.1,69.4,0,0,0,2.1,3.1,68,3.9,6.4,10.3,1.6,1,0.4,0.8,2.8,27.7,3,0,,
J.J. Barea,DAL,36,3,2,1,19.7,9.3,3.7,9.3,39.3,1,3,33.3,1,1.3,75,0,1.7,1.7,4.3,1,0.3,0,0.7,17.8,0,0,,
JJ Redick,NOP,36,6,2,4,26,18.7,5.8,12.2,47.9,4,8.7,46.2,3,3.7,81.8,0.2,1.7,1.8,1.8,1.7,0.2,0.2,1.7,23,0,0,,
